Order_ID,SKU,Pick_Zone,Picker_ID,Received_Timestamp,Putaway_Timestamp,Ordered_Qty,Picked_Qty,Pick_Duration_Minutes,Location_Capacity_M3,Occupied_Volume_M3
ORD-10000,SKU-138,Zone_C_Bulk,PKR-09,01-01-2026 06:07,01:54.0,17,17,19,10,7.77
ORD-10001,SKU-128,Zone_A_HighBay,PKR-01,01-01-2026 06:37,01:23.9,19,19,18,10,8.98
ORD-10002,SKU-114,Zone_C_Bulk,PKR-05,01-01-2026 06:38,55:56.9,18,18,15,10,6.02
ORD-10003,SKU-142,Zone_B_Mezzanine,PKR-06,01-01-2026 06:46,55:31.9,6,6,24,10,8.39
ORD-10004,SKU-107,Zone_A_HighBay,PKR-05,01-01-2026 07:13,38:01.6,19,19,12,10,8.89
ORD-10005,SKU-120,Zone_B_Mezzanine,PKR-06,01-01-2026 07:28,47:28.2,10,10,8,10,6.45
ORD-10006,SKU-138,Zone_C_Bulk,PKR-06,01-01-2026 07:33,25:53.0,8,8,16,10,6.31
ORD-10007,SKU-118,Zone_B_Mezzanine,PKR-07,01-01-2026 08:14,15:12.6,6,6,12,10,7.36
ORD-10008,SKU-122,Zone_C_Bulk,PKR-04,01-01-2026 08:05,06:23.1,7,7,10,10,8.99
ORD-10009,SKU-110,Zone_C_Bulk,PKR-08,01-01-2026 08:25,47:46.7,1,1,19,10,7.74
ORD-10010,SKU-110,Zone_A_HighBay,PKR-07,01-01-2026 08:32,58:10.9,18,18,16,10,7.69
ORD-10011,SKU-123,Zone_A_HighBay,PKR-09,01-01-2026 08:52,07:34.9,12,12,20,10,6.45
ORD-10012,SKU-135,Zone_B_Mezzanine,PKR-07,01-01-2026 09:02,02:31.3,16,16,20,10,6
ORD-10013,SKU-139,Zone_A_HighBay,PKR-03,01-01-2026 09:28,37:10.2,10,10,24,10,8.59
ORD-10014,SKU-123,Zone_C_Bulk,PKR-03,01-01-2026 09:57,15:02.7,10,10,24,10,6.28
ORD-10015,SKU-102,Zone_C_Bulk,PKR-08,01-01-2026 09:57,11:42.6,14,14,8,10,8.03
ORD-10016,SKU-121,Zone_A_HighBay,PKR-05,01-01-2026 10:12,51:03.7,10,10,15,10,8.93
ORD-10017,SKU-101,Zone_A_HighBay,PKR-04,01-01-2026 10:16,55:05.8,10,10,17,10,6.67
ORD-10018,SKU-123,Zone_B_Mezzanine,PKR-08,01-01-2026 10:42,42:48.9,11,11,13,10,8.13
ORD-10019,SKU-143,Zone_A_HighBay,PKR-06,01-01-2026 11:13,08:11.8,2,2,8,10,6.25
ORD-10020,SKU-129,Zone_C_Bulk,PKR-02,01-01-2026 11:18,39:46.9,8,8,16,10,7.93
ORD-10021,SKU-137,Zone_A_HighBay,PKR-04,01-01-2026 11:41,49:13.5,7,7,13,10,6.52
ORD-10022,SKU-101,Zone_B_Mezzanine,PKR-04,01-01-2026 11:35,53:58.3,8,8,17,10,8.36
ORD-10023,SKU-120,Zone_A_HighBay,PKR-06,01-01-2026 12:00,01:14.2,1,1,20,10,6.96
ORD-10024,SKU-132,Zone_B_Mezzanine,PKR-06,01-01-2026 12:01,20:17.8,2,2,10,10,7.48
ORD-10025,SKU-111,Zone_A_HighBay,PKR-01,01-01-2026 12:22,44:16.8,18,18,14,10,7.92
ORD-10026,SKU-121,Zone_B_Mezzanine,PKR-08,01-01-2026 12:46,08:36.6,15,15,17,10,6.55
ORD-10027,SKU-143,Zone_A_HighBay,PKR-06,01-01-2026 13:07,01:36.4,1,1,11,10,8.37
ORD-10028,SKU-124,Zone_B_Mezzanine,PKR-03,01-01-2026 13:01,08:18.2,5,5,23,10,6.97
ORD-10029,SKU-148,Zone_C_Bulk,PKR-09,01-01-2026 13:24,39:27.9,2,2,23,10,8.12
ORD-10030,SKU-126,Zone_A_HighBay,PKR-02,01-01-2026 13:57,11:04.1,3,3,21,10,6.51
ORD-10031,SKU-141,Zone_A_HighBay,PKR-08,01-01-2026 14:00,48:59.0,19,19,17,10,8.2
ORD-10032,SKU-127,Zone_A_HighBay,PKR-03,01-01-2026 14:05,00:30.6,18,18,17,10,6.41
ORD-10033,SKU-115,Zone_B_Mezzanine,PKR-05,01-01-2026 14:42,48:24.8,18,18,6,10,7.36
ORD-10034,SKU-114,Zone_B_Mezzanine,PKR-06,01-01-2026 14:31,37:09.7,14,14,14,10,6.79
ORD-10035,SKU-146,Zone_B_Mezzanine,PKR-06,01-01-2026 14:46,08:52.1,8,8,17,10,8.39
ORD-10036,SKU-143,Zone_A_HighBay,PKR-04,01-01-2026 15:25,13:27.0,12,12,13,10,6.84
ORD-10037,SKU-102,Zone_A_HighBay,PKR-03,01-01-2026 15:27,00:09.6,10,10,5,10,8.82
ORD-10038,SKU-136,Zone_B_Mezzanine,PKR-04,01-01-2026 15:53,52:58.9,17,17,18,10,8.85
ORD-10039,SKU-106,Zone_A_HighBay,PKR-01,01-01-2026 15:59,39:53.5,11,12,20,10,6.63
ORD-10040,SKU-120,Zone_C_Bulk,PKR-04,01-01-2026 16:27,49:21.3,2,2,24,10,7.96
ORD-10041,SKU-108,Zone_A_HighBay,PKR-01,01-01-2026 16:16,54:29.0,4,4,19,10,6.28
ORD-10042,SKU-138,Zone_B_Mezzanine,PKR-01,01-01-2026 16:36,34:26.3,1,1,5,10,7.25
ORD-10043,SKU-117,Zone_A_HighBay,PKR-06,01-01-2026 16:47,52:45.6,15,15,21,10,8.28
ORD-10044,SKU-103,Zone_A_HighBay,PKR-05,01-01-2026 17:07,33:18.9,13,13,17,10,8.11
ORD-10045,SKU-124,Zone_B_Mezzanine,PKR-04,01-01-2026 17:37,38:58.3,8,8,19,10,8
ORD-10046,SKU-113,Zone_B_Mezzanine,PKR-03,01-01-2026 17:43,28:14.2,4,4,20,10,6.9
ORD-10047,SKU-149,Zone_C_Bulk,PKR-01,01-01-2026 18:08,36:23.8,10,10,20,10,7.21
